"Otros (Producto Genérico)","Others (Generic Product)"
"Nombre o Descripción","Name or Description"
"Ej: Servicio técnico, Producto personalizado","E.g. Technical service, Custom product"
"Precio de Venta","Selling Price"
"Cancelar","Cancel"
"Añadir al Carrito","Add to Cart"
"Usuario","User"
"Obtener datos de Factura","Fetch Invoice Data"
"Ordenes Recientes","Recent Orders"
"Cerrar Caja","Close Cash Register"
"Pantalla Cliente (Activa)","Customer Display (Active)"
"Activar Pantalla Cliente","Activate Customer Display"
"Seleccionar Monitor","Select Monitor"
"Actual","Current"
"No se detectaron monitores secundarios.","No secondary monitors detected."
"Lanzar en pestaña nueva","Launch in new tab"
"Filtrar por categoría","Filter by category"
"Buscar producto (código, nombre)...","Search product (code, name)..."
"Actualizar catálogo","Refresh catalog"
"Crear Producto","Create Product"
"Rápido","Quick"
"Otros","Others"
"Precio Libre","Open Price"
"Agregar","Add"
"No hay productos para mostrar.","No products to display."
"Crear Producto Rápido","Create Quick Product"
"Código de Producto","Product Code"
"Ej: PROD-001","E.g. PROD-001"
"Nombre del Producto","Product Name"
"Ej: Coca Cola 330ml","E.g. Coca Cola 330ml"
"Categoría (Grupo de Artículo)","Category (Item Group)"
"Selecciona Categoría...","Select Category..."
"Precio Compra","Buying Price"
"Precio Venta","Selling Price"
"Crear y Añadir","Create and Add"
"Factura pendiente","Pending invoice"
"Selecciona una factura pendiente...","Select a pending invoice..."
"Cerrar","Close"
"Cobrar Factura","Collect Invoice"
"Apertura","Opening"
"Perfil","Profile"
"Inicio","Start"
"No hay sesion abierta. Completa el asistente inicial.","No open session. Complete the initial wizard."
"Abrir Caja","Open Cash Register"
"Apertura de Caja (Fallback Local)","Cash Register Opening (Local Fallback)"
"Company","Company"
"POS Profile","POS Profile"
"Configuracion POS","POS Configuration"
"Iniciar POS","Start POS"
"Carrito","Cart"
"Quitar","Remove"
"Aun no hay productos en el carrito.","No products in the cart yet."
"Total","Total"
"Siguiente","Next"
"Formato de Pago","Payment Format"
"No hay metodos de pago disponibles.","No payment methods available."
"Importe exacto","Exact amount"
"Pendiente","Outstanding"
"Volver","Back"
"Confirmar pago","Confirm Payment"
"Resumen / Extensiones","Summary / Extensions"
"Este metodo de pago cuenta con una extension modular.","This payment method has a modular extension."
"Listo para procesar el cobro.","Ready to process payment."
"Pago registrado en {0} por {1}","Payment registered in {0} for {1}"
"Error al confirmar el cobro.","Error confirming payment."
"Factura {0} cancelada.","Invoice {0} cancelled."
"Error al cancelar la factura.","Error cancelling invoice."
"¡Pago Registrado!","Payment Registered!"
"La transacción se ha completado y la factura está pagada.","The transaction has been completed and the invoice is paid."
"Nueva Venta","New Sale"
"Imprimir Ticket","Print Ticket"
"Error en el Pago","Payment Error"
"No se ha podido confirmar el cobro.","Could not confirm payment."
"Volver a Intentar","Retry"
"¡Pago Completado!","Payment Completed!"
"Su transacción se ha procesado con éxito.","Your transaction has been processed successfully."
"¡Pago Confirmado!","Payment Confirmed!"
"Su transacción se ha completado con éxito.","Your transaction has been completed successfully."
"Su pago no se ha podido procesar.","Your payment could not be processed."
"Por favor, intente con otro método o consulte con el cajero.","Please try another method or consult with the cashier."
"Punto de Venta","Point of Sale"
"Transacción en curso","Transaction in progress"
"Total a pagar","Total to pay"
"Artículos totales:","Total items:"
"Verifique los artículos en pantalla. Si necesita factura, solicítela al cajero.","Verify the items on screen. If you need an invoice, request it from the cashier."
"Esperando productos...","Waiting for products..."
"Detalle de su compra","Your purchase details"
"¡Bienvenido!","Welcome!"
"Gracias por comprar con nosotros. En breve iniciaremos su transacción.","Thank you for shopping with us. We will start your transaction shortly."
"PAGO EN PROCESO","PAYMENT IN PROGRESS"
"SELECCIONANDO MÉTODO DE PAGO","SELECTING PAYMENT METHOD"
"Método de pago:","Payment method:"
"No seleccionado","Not selected"
"Escanee para realizar el pago","Scan to pay"
"Por favor, entregue el efectivo al cajero","Please hand the cash to the cashier"
"Por favor, siga las instrucciones del terminal","Please follow the instructions on the terminal"
"Esperando confirmación del importe...","Waiting for amount confirmation..."
"¡Gracias por su compra! Vuelva pronto.","Thank you for your purchase! Come back soon."
"Factura:","Invoice:"
"Total Pagado:","Total Paid:"
"Procesando Transacción","Processing Transaction"
"Factura {0} generada con éxito por un importe de {1}. Esperando confirmación de cobro.","Invoice {0} successfully generated for an amount of {1}. Waiting for payment confirmation."
"Confirmar Pago Manual","Confirm Manual Payment"
"Cambiar Método","Change Method"
"Cancelar Factura","Cancel Invoice"
"Obtener datos de Factura","Fetch Invoice Data"
"Factura pendiente","Pending invoice"
"Cobrar Factura","Collect Invoice"
"Selecciona una factura pendiente.","Select a pending invoice."
"No se encontraron lineas para esta factura.","No lines found for this invoice."
"Referencia Factura: {0}","Invoice Reference: {0}"
"Factura {0} agregada al carrito.","Invoice {0} added to cart."
"Por favor, rellena todos los campos obligatorios (*).","Please fill in all mandatory fields (*)."
"Producto creado y añadido al carrito.","Product created and added to cart."
"Error al crear el producto.","Error creating product."
"Por favor, introduce una descripción y el precio.","Please enter a description and the price."
"Error al añadir el producto genérico.","Error adding generic product."
"No tienes permisos para crear artículos.","You do not have permissions to create items."
"El código de artículo {0} ya existe.","Item code {0} already exists."
"Solo se pueden procesar facturas confirmadas.","Only confirmed invoices can be processed."
"Esta factura no tiene saldo pendiente.","This invoice has no outstanding balance."
"La factura ya esta pagada.","The invoice is already paid."
"El importe de pago debe ser mayor que cero.","The payment amount must be greater than zero."
"Debe configurar un cliente por defecto en el POS Profile.","You must configure a default customer in the POS Profile."
"Por favor, pulse en confirmar pago cuando se haya completado la transacción.","Please click on confirm payment when the transaction is completed."
