"Agrega productos al carrito.","Agrega productos al carrito."
"Otros","Otros"
"Pago registrado en {0} por {1}","Pago registrado en {0} por {1}"
"Error al confirmar el cobro.","Error al confirmar el cobro."
"Factura {0} cancelada.","Factura {0} cancelada."
"Error al cancelar la factura.","Error al cancelar la factura."
"¡Pago Registrado!","¡Pago Registrado!"
"La transacción se ha completado y la factura está pagada.","La transacción se ha completado y la factura está pagada."
"Nueva Venta","Nueva Venta"
"Imprimir Ticket","Imprimir Ticket"
"Error en el Pago","Error en el Pago"
"No se ha podido confirmar el cobro.","No se ha podido confirmar el cobro."
"Volver a Intentar","Volver a Intentar"
"¡Pago Completado!","¡Pago Completado!"
"Su transacción se ha procesado con éxito.","Su transacción se ha procesado con éxito."
"¡Pago Confirmado!","¡Pago Confirmado!"
"Su transacción se ha completado con éxito.","Su transacción se ha completado con éxito."
"Su pago no se ha podido procesar.","Su pago no se ha podido procesar."
"Por favor, intente con otro método o consulte con el cajero.","Por favor, intente con otro método o consulte con el cajero."
"Punto de Venta","Punto de Venta"
"Transacción en curso","Transacción en curso"
"Total a pagar","Total a pagar"
"Artículos totales:","Artículos totales:"
"Verifique los artículos en pantalla. Si necesita factura, solicítela al cajero.","Verifique los artículos en pantalla. Si necesita factura, solicítela al cajero."
"Esperando productos...","Esperando productos..."
"Detalle de su compra","Detalle de su compra"
"¡Bienvenido!","¡Bienvenido!"
"Gracias por comprar con nosotros. En breve iniciaremos su transacción.","Gracias por comprar con nosotros. En breve iniciaremos su transacción."
"PAGO EN PROCESO","PAGO EN PROCESO"
"SELECCIONANDO MÉTODO DE PAGO","SELECCIONANDO MÉTODO DE PAGO"
"Método de pago:","Método de pago:"
"No seleccionado","No seleccionado"
"Escanee para realizar el pago","Escanee para realizar el pago"
"Por favor, entregue el efectivo al cajero","Por favor, entregue el efectivo al cajero"
"Por favor, siga las instrucciones del terminal","Por favor, siga las instrucciones del terminal"
"Esperando confirmación del importe...","Esperando confirmación del importe..."
"¡Gracias por su compra! Vuelva pronto.","¡Gracias por su compra! Vuelva pronto."
"Factura:","Factura:"
"Total Pagado:","Total Pagado:"
"Procesando Transacción","Procesando Transacción"
"Factura {0} generada con éxito por un importe de {1}. Esperando confirmación de cobro.","Factura {0} generada con éxito por un importe de {1}. Esperando confirmación de cobro."
"Confirmar Pago Manual","Confirmar Pago Manual"
"Cambiar Método","Cambiar Método"
"Cancelar Factura","Cancelar Factura"
"Obtener datos de Factura","Obtener datos de Factura"
"Factura pendiente","Factura pendiente"
"Cobrar Factura","Cobrar Factura"
"Selecciona una factura pendiente.","Selecciona una factura pendiente."
"No se encontraron lineas para esta factura.","No se encontraron lineas para esta factura."
"Referencia Factura: {0}","Referencia Factura: {0}"
"Factura {0} agregada al carrito.","Factura {0} agregada al carrito."
"Por favor, rellena todos los campos obligatorios (*).","Por favor, rellena todos los campos obligatorios (*)."
"Producto creado y añadido al carrito.","Producto creado y añadido al carrito."
"Error al crear el producto.","Error al crear el producto."
"Por favor, introduce una descripción y el precio.","Por favor, introduce una descripción y el precio."
"Error al añadir el producto genérico.","Error al añadir el producto genérico."
"No tienes permisos para crear artículos.","No tienes permisos para crear artículos."
"El código de artículo {0} ya existe.","El código de artículo {0} ya existe."
"Solo se pueden procesar facturas confirmadas.","Solo se pueden procesar facturas confirmadas."
"Esta factura no tiene saldo pendiente.","Esta factura no tiene saldo pendiente."
"La factura ya esta pagada.","La factura ya esta pagada."
"El importe de pago debe ser mayor que cero.","El importe de pago debe ser mayor que cero."
"Debe configurar un cliente por defecto en el POS Profile.","Debe configurar un cliente por defecto en el POS Profile."
